date, pm25, pm10, o3, no2, so2, co
2023/6/9, 96, 84, 23, 18, 11, 
2023/6/10, 91, 77, 13, 18, 11, 
2023/6/11, 83, 87, 23, 19, 11, 
2023/6/12, 98, 102, 20, 21, 11, 
2023/6/13, 111, 102, 20, 21, 11, 
2023/6/14, 111, 93, 24, 20, 11, 
2023/6/15, 101, 88, 25, 20, 11, 
2023/6/16, 95, 88, 23, 19, 11, 
2023/6/17, 95, 82, 20, 18, 11, 
2023/6/18, 87, 89, 20, 19, 11, 
2023/6/19, 98, 95, 24, 20, 11, 
2023/6/20, 104, 79, 13, 18, 10, 
2023/6/21, 85, 85, 26, 19, 11, 
2023/6/22, 92, 98, 27, 20, 11, 
2023/6/23, 105, 91, 20, 19, 11, 
2023/6/24, 100, 75, 16, 18, 11, 
2023/6/25, 81, 90, 18, 20, 11, 
2023/6/26, 97, 97, 19, 21, 11, 
2023/6/27, 105, 101, 20, 21, 12, 
2023/6/28, 112, 98, 20, 21, 12, 
2023/6/29, 107, 100, 21, 21, 12, 
2023/6/30, 110, 105, 20, 20, 12, 
2023/1/2, 142, 80, 21, 12, 11, 11
2023/1/3, 158, 74, 23, 13, 12, 11
2023/1/4, 153, 67, 25, 13, 12, 12
2023/1/5, 133, 65, 26, 13, 11, 11
2023/1/6, 104, 92, 22, 12, 17, 12
2023/1/7, 157, 104, 22, 13, 17, 13
2023/1/8, 161, 104, 22, 13, 16, 14
2023/1/9, 161, 104, 22, 13, 17, 14
2023/1/10, 161, 79, 21, 12, 13, 13
2023/1/11, 153, 92, 31, 10, 17, 13
2023/1/12, 156, 98, 31, 9, 24, 11
2023/1/13, 151, 82, 26, 14, 20, 
2023/1/14, 151, 82, 26, , , 
2023/1/15, 151, 82, 26, , , 
2023/1/16, 151, 82, 26, , , 
2023/1/17, 151, 82, 26, , , 
2023/1/18, 151, 82, 26, 17, 24, 
2023/1/19, 152, 85, 25, 19, 24, 
2023/1/20, 112, 86, 25, 23, 24, 
2023/1/21, 94, 92, 22, 25, 24, 
2023/1/22, 84, 89, 27, 25, 27, 
2023/1/23, 89, 85, 28, 25, 30, 
2023/1/24, 92, 79, 28, 24, 30, 
2023/1/25, 84, 76, 23, 24, 31, 
2023/1/26, 81, 79, 30, 24, 30, 
2023/1/27, 85, 88, 31, 25, 31, 
2023/1/28, 95, 90, 28, 26, 30, 
2023/1/29, 97, 88, 28, 25, 28, 
2023/1/30, 95, 87, 30, 26, 30, 
2023/1/31, 95, 93, 33, 27, 33, 
2023/2/1, 102, 91, 27, 25, 31, 
2023/2/2, 100, 90, 28, 26, 32, 
2023/2/3, 98, 72, 26, 24, 28, 
